번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
1296,공시-3-3-428,탄저제로(미생물+점토광물),토양개량 및 작물생육용,㈜케이케이티생명자원개발연구소,613-81-74840,2025.01.27 ~ 2028.01.26,국립순천대학교 산학협력단,"○ 직사광선을 피하고, 서늘한 그늘에 보관하십시오. ○ 버섯류에는 절대 사용하지 마십시오.",2022.01.27,"35,000원/2kg",주성분: Trichoderma harzianum 1.0×10^6 CFU/g 이상,Trichoderma harzianum,-,055-762-6972,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25
1300,공시-2-6-080,총채스탑(미생물+미생물추출물),병해충관리용,글로벌아그로㈜,206-81-84024,2025.04.21 ~ 2028.04.20,강원대학교 산학협력단,- 살아 있는 미생물 제품으로 서늘하고 그늘진 곳에 보관해 주세요. - 제품 처리 후 충분한 물 공급을 통해 포자의 발아를 유도해 주세요. - 안전성이 입증된 제품이지만 절대로 먹거나 마시지 마시고 눈과 피부에 닿지 않도록 주의하세요. - 개봉 후 모두 사용하세요.,2022.04.21,"20,000원/1.1kg","*주성분의 종류 및 함량: Beauveria bassiana, Lipopolysaccharides *책임보험정보: DB손해보험㈜_120240961842","Beauveria bassiana, Lipopolysaccharides sp.",없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
1301,공시-2-3-729,부숙오케이(미생물),토양개량 및 작물생육용,㈜대유,515-81-00326,2025.02.24 ~ 2028.02.23,강원대학교 산학협력단,"- 고온기(30℃ 이상)가 지속되는 비닐하우스, 온실 및 일반 노지와 어린묘, 유과기(어린 과실), 수세가 약할 때 또는 이상기후(저온, 흐린 날씨) 및 가뭄이 계속될 때에는 2,000배액 이상으로 사용하여 주십시오. - 보관 중 침전이 생길 수 있으나 흔들어서 사용하면 제품의 효과에는 이상이 없습니다. - 사용 후 남은 것은 공기가 통하지 않게 뚜껑을 잘 닫은 후 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오. - 먹거나 마시지 마십시오.",2022.02.24,"20,000원/500mL",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL,Bacillus subtilis,없음,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
1308,공시-2-4-203,균싹(미생물),병해관리용,글로벌아그로㈜,206-81-84024,2025.04.21 ~ 2028.04.20,강원대학교 산학협력단,"- 사용 전에 충분히 흔들어 섞은 후 사용하시고, 사용농도를 준수하여 처리하여 주십시오. - 안전성이 입증된 제품이지만 절대로 먹지 마시고 눈과 피부에 닿지 않도록 주의하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 장기간 보관 시 직사광선 및 습한 곳을 피해 보관하여 주십시오. - 개봉 후 남은 경우에는 잘 밀봉하여 건조한 냉암소에 보관하십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 확인하시기 바랍니다.",2022.04.21,"20,000원/500mL",*주성분의 종류 및 함량: Bacillus methylotrophicus *책임보험정보: DB손해보험㈜_120240961842,Bacillus methylotrophicus,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
1319,공시-3-3-449,코마에이치입제(미생물+해조류추출물),토양개량 및 작물생육용,㈜남보,613-81-33010,2025.02.24 ~ 2028.02.23,국립순천대학교 산학협력단,별도표기,2022.02.24,"15,000/2kg, 25,000/5kg, 42,000/10kg",주성분: Bacillus licheniformis 1.0X10^6 CFU/g 이상,Bacillus licheniformis,-,055-762-6867,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25-21
1320,공시-3-4-048,보란패치그린(미생물),병해관리용,보란파마,338-24-00046,2025.02.24 ~ 2028.02.23,국립순천대학교 산학협력단,"○ 직사광선을 피하여 보관하며, 상온보관이 가능하나 되도록 서늘한 곳 또는 저온 냉장고를 권장합니다. ○ 보관 중 침전 현상이 일어날 수 있으므로 흔들어서 사용하세요. ○ 토양소독제와 혼용하지 마십시오. ○ 생물제제이므로 토양환경에 따라 효과의 차이를 보일 수 있습니다. ○ 살아 잇는 미생물을 유효성분으로 하였기에 가능한 빨리 살포하시고 개봉 후에는 전량을 사용하십시오.""",2022.02.24,"27,500원/500mL, 357,500원/10L 660,000원/20L",- 주성분: Bacillus velezensis 1.0X10^6 CFU/mL,Bacillus velezensis,-,02-365-7000,표시,,"잔디(라이족토니아잎마름병, 갈색잎마름병)",전북특별자치도 정읍시 첨단과학로 241 (신정동)
1321,공시-2-3-741,흙고을골드(토양미생물제제),토양개량 및 작물생육용,㈜한텍,645-88-01192,2025.03.24 ~ 2028.03.23,강원대학교 산학협력단,"- 토양, 환경의 상태에 따라 작물에 효과가 차이가 날 수 있습니다. - 직사광선이 없는 냉암소에 보관하십시오. - 직파 작물은 최소 파종 20일 전에 사용을 마치어 주세요. - 토양혼화 후 미생물이 생육할 수 있는 충분한 수분과 시간을 준 후 정식하세요. - 수분이 미리 공급이 되지 않으면 정식 후 가스 발생의 우려가 있습니다. - 상토용이나 동물 먹이용으로 사용하지 마세요. - 혹 수분이 공급이 되어 균사가 자라서 변질된 것처럼 보여도 효과에는 지장이 없습니다. - 버섯 및 버섯사 주변에서는 사용하지 마세요. - 개, 고양이 등이 먹을 경우 폐사할 수 있으니 살포 후 반드시 토양과 잘 섞으세요. - 어린이의 손에 닿는 곳에 놓거나 보관하지 마세요. - 농업용 외에는 사용하지 마세요.",2022.03.24,"25,000원/10kg","*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.0×10^6 cfu/g, Aspergillus oryzae 1.0×10^5 cfu/g",Bacillus amyloliquefaciens,제 경남 거창017-가-20301 호,055-941-2140,표시,비료등록,비료등록제품,경상남도 거창군 남상면 남진1길 185
1324,공시-2-3-744,유산균발효액 씨비티(CBT)(미생물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2025.03.24 ~ 2028.03.23,강원대학교 산학협력단,- 냉암소 보관,2022.03.24,"1,000원/1L, 10,000원/10L, 20,000원/20L, 50,000원/50L, 100,000원/100L, 1,000,000원/1,000L","*주성분의 종류 및 함량: Lactobacillus casei 1.0×10^6 cfu/mL, Lactobacillus bulgaricus 1.0×10^6 cfu/mL, Streptococcus thermophilus 1.0×10^6 cfu/mL","Lactobacillus casei, Lactobacillus bulgaricus",없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1325,공시-2-3-745,유산균발효액 엘알(LR)(미생물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2025.03.24 ~ 2028.03.23,강원대학교 산학협력단,- 냉암소 보관,2022.03.24,"1,000원/1L, 10,000원/10L, 20,000원/20L, 50,000원/50L, 100,000원/100L, 1,000,000원/1,000L","*주성분의 종류 및 함량: Lactobacillus rhamnosus 1.0×10^6 cfu/mL, Lactococcus lactis 1.0×10^6 cfu/mL",Lactobacillus rhamnosus,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1326,공시-2-3-746,유산균발효액 피피(PP)(미생물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2025.03.24 ~ 2028.03.23,강원대학교 산학협력단,- 냉암소 보관,2022.03.24,"1,000원/1L, 10,000원/10L, 20,000원/20L, 50,000원/50L, 100,000원/100L, 1,000,000원/1,000L","*주성분의 종류 및 함량: Lactobacillus paracasei 1.0×10^6 cfu/mL, Lactobacillus plantarum 1.0×10^6 cfu/mL","Lactobacillus paracasei, Lactobacillus plantarum",없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1332,공시-2-5-283,네마닥터 골드(미생물),충해관리용,㈜마이크로자임,409-86-19995,2025.03.24 ~ 2028.03.23,강원대학교 산학협력단,"- 개봉 후 제품은 가급적 빨리 사용하십시오. - 사용 후 남는 제품은 직사광선이 없는 냉암소에 보관하여 주십시오. - 제품의 사용 방법 및 사용 농도에 관한 사항을 숙지하십시오. - 화학 자재 및 산, 알칼리성 자재와 혼용 활용을 금지하십시오.",2022.03.24,"35,000원/5kg",*주성분의 종류 및 함량: Lactobacillus sakei 1.0×10^6 cfu/g,Lactobacillus sakei,없음,061-363-0607,표시,,적용대상 작물명 및 효과: 토마토(뿌리혹선충) / 무처리구 대비 50% 이상 방제,전북특별자치도 정읍시 첨단2로 78 (신정동)
1336,공시-2-3-755,슈퍼파우더 에이(A)(미생물+제당부산물),토양개량 및 작물생육용,㈜엠씨바이오텍,776-88-00672,2025.05.19 ~ 2028.05.18,강원대학교 산학협력단,"- 본 제품은 슈퍼파우더 비(B), 엠씨크린 1000 제품과 함께 사용할 수 있는 자재입니다. - 타 농자재와 혼용 시 제조사에 확인해 주시기 바랍니다. - 작물 상태 또는 온도, 기후에 따라 사용량이나 농도를 조절하십시오. - 사용방법을 반드시 준수하십시오. - 직사광선을 피하고 건냉한 곳에 상온 보관하십시오. - 어린이의 손에 닿지 않는 곳에 보관하시고 절대 음용하지 마십시오. - 사용 전 라벨을 잘 읽고 사용하십시오. - 간혹 분말 입자가 잘 안 녹을 수 있습니다. 제품을 잘 녹이고 난 후 사용하십시오. - 사용 시 권장량을 준수하시고 추가 또는 감량 시 본사에 문의하여 주십시오. - 해당 용도 외의 다른 용도로의 사용은 금합니다.",2022.05.19,"22,000원/500g",*주성분의 종류 및 함량: Bacillus velenzensis 1.0×10^6 cfu/g,Bacillus velenzensis,없음,062-716-1181,미표시,없음,,전북특별자치도 고창군 흥덕면 선운대로 3619-18
1346,공시-3-4-041,바이오탄(미생물),병해관리용,SJ인터내셔날,613-22-34706,2025.04.21 ~ 2028.04.20,국립순천대학교 산학협력단,"○ 미생물의 증식과 확산을 위해 토양처리 경운 작업 후에 반드시 물을 충분히 공급합니다(2~4일, 1회/일). ○ 미생물 제제이므로 반드시 30℃ 이하의 서늘하고 그늘진 곳에 보관합니다. 다. 사용하고 남은 제품은 어린이의 손이 닿지 않는 냉암소에 보관하십시오.",2022.04.21,"12,000원/200mL 25,000원/500mL 40,000원/L",Bacillus velezensis 1.0×10^6 CFU/mL 이상,Bacillus velezensis,-,055-762-0025,표시,,사용방법 참고,경상남도 진주시 문산읍 월아산로950번길 25-9
1350,공시-2-6-087,총채스탑 수화제(미생물+중탄산나트륨),병해충관리용,글로벌아그로㈜,206-81-84024,2025.11.24 ~ 2028.11.23,강원대학교 산학협력단,- 살아있는 미생물 제품으로 서늘하고 그늘진 곳에 보관해 주세요. - 제품 처리 후 충분한 물 공급을 통해 포자의 발아를 유도해 주세요. - 안전성이 입증된 제품이지만 절대로 먹거나 마시지 마시고 눈과 피부에 닿지 않도록 주의하세요. - 개봉 후 모두 사용하세요.,2022.11.24,"30,000원/200g","*주성분의 종류 및 함량: Beauveria bassiana, 나트륨전량 *책임보험정보: DB손해보험㈜_120250348012",Beauveria bassiana,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
1356,공시-2-5-290,네마씨에코 입제(미생물),충해관리용,에프엠씨코리아㈜,220-81-21587,2025.07.21 ~ 2028.07.20,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사용을 숙지하십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용 시 한낮은 피하고 새벽이나 해질녁에 사용하시면 좋습니다. - 어린이 손이 닿지 않는 곳에 보관하십시오.,2022.07.21,"25,000원/3kg","*주성분의 종류 및 함량: Bacillus paralicheniformis 1.0×10^6 cfu/g, Bacillus subtilis 1.0×10^6 cfu/g *책임보험정보: AIG손해보험㈜_32439004090000","Bacillus paralicheniformis, Bacillus subtilis",없음,1522-6438,표시,,"적용대상 작물명 및 효과: 딸기(뿌리썩이선충), 멜론, 방울토마토, 수박, 오이, 참외(뿌리혹선충) / 무처리구 대비 50% 이상 방제",전라남도 장성군 남면 나노산단3로 33-5
1357,공시-2-4-207,아트플랜에코 입제(미생물),병해관리용,에프엠씨코리아㈜,220-81-21587,2025.07.21 ~ 2028.07.20,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사용을 숙지하십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 미생물 정착을 위해 처리 후 물을 충분히 공급해 주십시오. - 사용 시 한낮은 피하고 새벽이나 해질녁에 사용하시면 좋습니다. - 어린이 손이 닿지 않는 곳에 보관하십시오.,2022.07.21,"22,000원/3kg","*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g, Bacillus velezensis 1.0×10^6 cfu/g *책임보험정보: AIG손해보험㈜_32439004090000","Bacillus subtilis, Bacillus velezensis",없음,1522-6438,표시,,"적용대상 작물명 및 효과: 고추(역병, 잘록병, 풋마름병), 딸기(시들음병), 마늘, 양파, 파(흑색썩음균핵병), 상추(균핵병), 양배추(뿌리혹병), 오이(잘록병), 잔디(라이족토니아마름병, 피티움마름병) / 무처리구 대비 50% 이상 방제",전라남도 장성군 남면 나노산단3로 33-5
1358,공시-3-2-127,알이찬(동물부산물+미생물추출물),작물생육용,㈜남보,613-81-33010,2025.05.19 ~ 2028.05.18,국립순천대학교 산학협력단,○ 사용하고 남은 제품은 어린이의 손이 닿지 않는 직사광선을 피하여 건조하고 서늘한 곳에 보관합니다. ○ 개봉한 후 가급적 빠른 시일 내에 사용합니다.,2022.05.19,"6,000원/100mL, 25,000원/500mL, 60,000원/10kg(L)",질소전량 1.4% 이상,,-,055-762-6867,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25-21
1367,공시-2-3-766,아조타골드(토양미생물제제),토양개량 및 작물생육용,㈜한텍,645-88-01192,2025.07.21 ~ 2028.07.20,강원대학교 산학협력단,"- 토양, 환경의 상태에 따라 작물에 효과가 차이가 날 수 있습니다. - 직사광선이 없는 냉암소에 보관하십시오. - 어린이의 손에 닿지 않게 보관에 유의하세요. - 농업용 외에는 사용하지 마세요.",2022.07.21,"25,000원/1L",*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.2×10^6 cfu/mL,Bacillus amyloliquefaciens,제 경남 거창017-가-20301 호,055-941-2140,표시,비료등록,비료등록제품,경상남도 거창군 남상면 남진1길 185
1370,공시-3-6-061,제균박사(미생물),병해충관리용,㈜누림,221-81-31884,2025.06.23 ~ 2028.06.22,국립순천대학교 산학협력단,"○ 사용전에 흔들어 준 후 사용해 주십시오. ○ 햇빛이 강한 한낮에는 사용을 피해주시고 늦은 오후에 살포하여 주십시오. ○ 제품은 직사광선을 피해 서늘한 곳에 보관하십시오. ○ 절대로 음용하지 마시고, 어린이 손에 닿지 않는 곳에 보관하십시오. ○ 타 농자재와 혼용시 소량 일부 살포 후 이상이 없을 때 사용하여 주십시오. ○ 알칼리성 물질이나 동제 화합물과의 혼용은 삼가십시오",2022.06.23,"30,000원/500g(부가세 별도)","Trichoderma harzianum 1.0X10^3 CFU/g, Bacillus licheniformis 1.0*10^6 CFU/g, Bacillus subtilis 1.0*10^6 CFU/g","Bacillus licheniformis, Bacillus subtilis, Trichoderma harzianum",X,033-251-2511,미표시,없음,,강원특별자치도 춘천시 동내면 거두단지1길 29
1373,공시-3-3-483,진생플러스(미생물추출물+동물부산물+식품공장의 유기적부산물+제당산업의 부산물),토양개량 및 작물생육용,토민(土民),624-26-00179,2025.07.21 ~ 2028.07.20,국립순천대학교 산학협력단,○ 별도표시,2022.07.21,"16,000원/500mL, 30,000원/1L",질소전량 0.070%,,X,010-3505-3423,미표시,없음,,경상북도 문경시 신기로 58-21 (신기동)
1376,공시-3-6-063,잰닥터6네버박토(미생물),병해충관리용,(주)잰153바이오텍,304-86-10680,2025.07.21 ~ 2028.07.20,국립순천대학교 산학협력단,○ 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. ○ 사용 전 잘 흔들어 사용하십시오. ○ 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. ○ 어린이 손에 닿지 않으면서 서늘한 곳에 보관하십시오.,2022.07.21,"20,000원/250mL, 40,000원/500mL, 80,000원/1L",Bacillus methylotrophicus 1.0X10^5 CFU/mL 이상,Bacillus methylotrophicus,X,062-530-2132,표시,,사용방법 참고,전북 정읍시 첨단로 114
1380,공시-2-4-210,팜볼드(미생물+수산화동),병해관리용,㈜팜한농,120-87-55101,2025.10.20 ~ 2028.10.19,강원대학교 산학협력단,"- 이상기후(강우, 가뭄, 온도, 태풍 등), 병해충/잡초 다발생, 저항성 발현, 토양, 농업용수, 약제 보관 조건 등 다양한 상황에 의해 예상치 못한 약효, 약해에 문제가 발생할 수 있으니 사용에 주의하십시오. - 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손에 닿지 않는 곳에 보관하십시오. - 살아있는 미생물 제품으로 직사광선을 피하고 반드시 서늘하고 그늘진 곳에 보관하십시오. - 제품 개봉 시 신체(눈, 코, 입, 피부 등)에 내용물이 묻지 않도록 주의하십시오. - 기타 자세한 사항은 ㈜팜한농에 문의하십시오. - 이 유기농업자재는 피부자극성이 있으므로 고무장갑, 방제복, 마스크, 보안경을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오. - 이 유기농업자재는 강한 안자극성이 있으므로 보안경, 방제복, 마스크, 고무장갑을 착용하고 눈에 들어가지 않도록 주의하여 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오. - 이 유기농업자재는 꿀벌에 대한 독성이 강하니 꽃이 피어 있는 동안에는 사용하지 말아야 하며, 일시에 광범위한 지역에 살포하지 마십시오.",2022.10.20,"30,000원/1kg","*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.0×10^8 cfu/g, 구리전량 10.8% *책임보험정보: ㈜KB손해보험_2024-7683448(000)",Bacillus amyloliquefaciens,없음,1644-0901,표시,,"적용대상 작물명 및 효과: 감귤(검은점무늬병, 궤양병, 더뎅이병), 참다래(궤양병) / 무처리구 대비 50% 이상 방제",경상북도 영천시 청통면 사일로 367-11
1382,공시-2-5-293,슈퍼네마탄(미생물),충해관리용,㈜에코윈,503-81-81554,2025.10.20 ~ 2028.10.19,강원대학교 산학협력단,"- 직사광선을 피하고, 서늘한 그늘에 보관",2022.10.20,"30,000원/2kg",*주성분의 종류 및 함량: Paecilomyces lilacinus *책임보험정보: 대한상공회의소_202501-014,,없음,053-582-0321,미표시,없음,,대구광역시 달성군 유가읍 테크노중앙대로2길 18
1383,공시-2-3-775,트리플 바이오(토양미생물제제),토양개량 및 작물생육용,㈜누보,474-86-01636,2025.09.22 ~ 2028.09.21,강원대학교 산학협력단,- 미생물이 함유된 제품으로 직사광선을 피하고 건조하고 서늘한 곳에 보관하여 주십시오. - 개봉 후에는 가능한 모두 사용하십시오. - 어린이 손에 닿는 곳에 놓거나 보관하지 마세요. - 사용방법을 준수하고 별도의 사용 시 문의 바랍니다.,2022.09.22,"30,000원/20kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g *책임보험정보: 현대해상화재보험㈜_F-2024-0721517,Bacillus subtilis,제 울산 울주059-가-20301 호,1544-3098(055-365-3098),표시,비료등록,비료등록제품,울산광역시 울주군 온산읍 대정로 106
1394,공시-2-4-221,세레나데아소(미생물),병해관리용,바이엘크롭사이언스㈜,306-81-01018,2023.09.21 ~ 2026.09.20,강원대학교 산학협력단,- 이 제품은 살아있는 미생물제제이므로 햇빛을 피해 반드시 실온(1~35℃)에서 보관하십시오. - 한 번 사용하신 제품은 가급적 빨리 사용하시고 부득이한 경우 밀봉하여 서늘한 곳에 보관하여 주십시오. - 이 제품은 미생물제제이므로 다른 용기에 옮겨 보관하지 마십시오.,2023.09.21,"34,000원/1L",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^9 cfu/mL *책임보험정보: 삼성화재해상보험㈜_82302595437000,Bacillus subtilis,제4-살균-42호,02-3450-1324(031-610-7754),표시,농약등록,농약등록제품,세종특별자치시 연기면 공단로 49
1400,공시-2-2-301,락토-에이치케이(락토-HK)(토양미생물제제),작물생육용,㈜웰빙엘에스,226-81-40845,2025.11.24 ~ 2028.11.23,강원대학교 산학협력단,- 본 제품을 보관할 시는 그늘지고 서늘한 곳에 보관하십시오. - 제품 사용 후 남은 제품은 반드시 밀봉하여 보관하십시오. - 사용 시 다른 제품과 혼용하여 사용하지 마십시오.,2022.11.24,"70,000원/1kg","*주성분의 종류 및 함량: Limosilactobacillus fermentum 1.0×10^6 cfu/g, Saccharomyces cerevisiae 1.0×10^6 cfu/g",,제 강원 강릉006-가-20301 호,033-646-8738,표시,비료등록,비료등록제품,강원특별자치도 강릉시 과학단지로 24-19 (대전동)
1407,공시-3-4-054,청고킬(미생물),병해관리용,순창군농업기술센터,407-83-01799,2025.11.24 ~ 2028.11.23,국립순천대학교 산학협력단,○ 직사광선을 피해 서늘한 곳에 보관하십시오.,2022.11.24,"500원/2L(관내), 2,500원/2L(관외)",Burkholderia territorii 1.0X10^5 CFU/mL,,X,063-650-5646,미표시,없음,,전북특별자치도 순창군 유등면 담순로 1552
1413,공시-2-4-215,뿌리장생 수화제(미생물),병해관리용,(유)한터,611-87-00214,2026.06.22 ~ 2029.06.21,강원대학교 산학협력단,"- 농업용수에 제품을 희석배율 농도로 넣고 저어주면 잘 용해됩니다. - 건암소에 보관하시고, 개봉한 제품은 습기가 들어가지 않도록 밀폐하여 보관하세요. - 제품 혼용은 주의하여 주심시오. - 농업용 제품으로 음용하지 마십시오.",2023.06.22,"40,000원/200g",*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.0×10^6 cfu/g,Bacillus amyloliquefaciens,없음,063-537-1525,표시,,"적용대상 작물명 및 효과: 배추(무름병, 밑둥썩음병) / 무처리구 대비 50% 이상 방제",전북특별자치도 정읍시 첨단2로 78 (신정동)
1431,공시-2-5-302,네마씨에코(미생물),충해관리용,에프엠씨코리아㈜,220-81-21587,2026.03.23 ~ 2029.03.22,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 사용 전 충분히 흔들어 주십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용 시 한낮은 피하고 새벽이나 해 질 녘에 사용하시면 좋습니다. - 어린이 손이 닿지 않는 곳에 보관하십시오.,2023.03.23,"30,000원/100mL, 130,000원/500mL","*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^8 cfu/mL, Bacillus paralicheniformis 1.0×10^8 cfu/mL","Bacillus subtilis, Bacillus paralicheniformis",없음,1522-6438,표시,,"적용대상 작물명 및 효과: 딸기(뿌리썩이선충), 멜론, 방울토마토, 수박, 오이, 참외(뿌리혹선충) / 무처리구 대비 50% 이상 방제",전라남도 장성군 남면 나노산단3로 33-5
1432,공시-2-4-213,아트플랜에코(미생물),병해관리용,에프엠씨코리아㈜,220-81-21587,2026.03.23 ~ 2029.03.22,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 사용 전 충분히 흔들어 주십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용 시 한낮은 피하고 새벽이나 해 질 녘에 사용하시면 좋습니다. - 어린이 손이 닿지 않는 곳에 보관하십시오.,2023.03.23,"27,000원/100mL, 120,000원/500mL","*주성분의 종류 및 함량: Bacillus velezensis 1.0×10^8 cfu/mL, Bacillus subtilis 1.0×10^8 cfu/mL","Bacillus velezensis, Bacillus subtilis",없음,1522-6438,표시,,"적용대상 작물명 및 효과: 벼(잎집무늬마름병, 흰잎마름병), 감(둥근무늬낙엽병, 탄저병), 고추(역병, 탄저병, 풋마름병), 딸기(시들음병, 탄저병), 마늘, 양파(흑색썩음균핵병), 방울토마토(잎곰팡이병, 풋마름병), 배(검은별무늬병), 복숭아(탄저병), 사과(점무늬낙엽병, 탄저병), 오이(잘록병), 인삼(뿌리썩음병), 잔디(라이족토니아마름병, 피티움마름병), 토마토(시들음병), 파(노균병), 포도(갈색무늬병, 탄저병, 흰가루병) / 무처리구 대비 50% 이상 방제",전라남도 장성군 남면 나노산단3로 33-5
1433,공시-2-4-214,새시대(미생물),병해관리용,㈜천지인바이오텍,881-87-00088,2026.04.20 ~ 2029.04.19,강원대학교 산학협력단,- 사용 전 제품을 충분히 흔들고 물에 희석 시 골고루 혼합하여 주십시오. - 타 제품과 혼용 시 사전에 시험 후 사용하십시오. - 강알칼리성 자재와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2023.04.20,"25,000원/250mL",*주성분의 종류 및 함량: Bacillus velezensis 1.0×10^8 cfu/mL *책임보험정보: 중소기업중앙회_2-40201-20251217-0015,Bacillus velezensis,없음,033-554-4416,표시,,"적용대상 작물명 및 효과: 고추(탄저병), 딸기(잿빛곰팡이병) / 무처리구 대비 50% 이상 방제",강원특별자치도 태백시 철암공단길 16-25 (철암동)
1441,공시-3-3-545,알이찬입제(미생물추출물+해조류추출물),토양개량 및 작물생육용,㈜남보,613-81-33010,2026.01.19 ~ 2029.01.18,국립순천대학교 산학협력단,○ 사용하고 남은 제품은 어린이의 손이 닿지 않는 직사광선을 피하여 건조하고 서늘한 곳에 보관합니다. ○ 개봉한 후 가급적 빠른 시일 내에 사용합니다.,2023.01.19,"20,000원/2kg, 35,000원/5kg, 60,000원/10kg",질소전량 1.9,,X,055-762-6867,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25-21
1445,공시-2-6-092,대유총진싹골드(미생물),병해충관리용,㈜대유,515-81-00326,2026.03.23 ~ 2029.03.22,강원대학교 산학협력단,"- 사용 전에 충분히 흔들어 주신 후 사용하여 주십시오. - 이른 아침 또는 오후 늦게 살포하여야 효과적이며 햇빛이 강할 때 또는 기온이 높을 때에는 사용을 피하여 주십시오. - 본 제품은 미생물 제제이므로 유효기간이 경과한 제품은 효과가 감소되므로 사용을 피하는 것이 좋습니다. - 고온기(30℃ 이상)가 지속되는 비닐하우스, 온실 및 일반 노지와 어린묘, 유과기(어린 과실), 수세가 약할 때 또는 이상기후(저온, 흐린 날씨) 및 가뭄이 계속될 때에는 2,000배액 이상으로 사용하여 주십시오. - 살아있는 미생물 제제이므로 장기간 보관 시는 냉암소(5~15℃)에 보관하는 것이 좋습니다. - 사용 후 남은 것은 공기가 통하지 않게 뚜껑을 잘 닫은 후 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오. - 먹거나 마시지 마십시오.",2023.03.23,"15,000원/250mL, 30,000원/500mL","*주성분의 종류 및 함량: Beauveria bassiana, Bacillus thuringiensis *책임보험정보: DB손해보험㈜_120250478900","Bacillus thuringiensis, Beauveria bassiana",없음,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
